id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,nacidos_muertos_atendidos_por_partera,total_general
270,7,SANTA CRUZ,70703,CABEZAS                       ,294,5,37,2,1,339
271,7,SANTA CRUZ,70704,CUEVO                         ,22,11,1,0,0,34
272,7,SANTA CRUZ,70705,GUTIERREZ                     ,136,75,2,4,0,217
273,7,SANTA CRUZ,70706,CAMIRI                        ,1093,7,3,8,0,1111
274,7,SANTA CRUZ,70707,BOYUIBE                       ,45,1,2,1,0,49
275,7,SANTA CRUZ,70801,VALLEGRANDE                   ,358,1,0,6,0,365
276,7,SANTA CRUZ,70802,TRIGAL                        ,11,,,0,,11
277,7,SANTA CRUZ,70803,MORO MORO                     ,12,0,0,0,0,12
278,7,SANTA CRUZ,70804,POSTRER VALLE                 ,7,1,0,1,0,9
279,7,SANTA CRUZ,70805,PUCARA                        ,3,,,0,,3
280,7,SANTA CRUZ,70901,SAMAIPATA                     ,69,0,1,2,0,72
281,7,SANTA CRUZ,70902,PAMPA GRANDE                  ,87,2,4,3,0,96
282,7,SANTA CRUZ,70903,MAIRANA                       ,269,2,0,1,0,272
283,7,SANTA CRUZ,70904,QUIRUSILLAS                   ,8,,,0,,8
284,7,SANTA CRUZ,71001,MONTERO                       ,4136,21,1,28,1,4187
285,7,SANTA CRUZ,71002,GENERAL SAAVEDRA              ,90,,,2,,92
286,7,SANTA CRUZ,71003,MINEROS                       ,169,,,0,,169
287,7,SANTA CRUZ,71004,FERNANDEZ ALONSO              ,128,0,0,1,0,129
288,7,SANTA CRUZ,71005,SAN PEDRO                     ,109,,,0,,109
289,7,SANTA CRUZ,71101,CONCEPCION                    ,340,41,6,8,0,395
290,7,SANTA CRUZ,71102,SAN JAVIER(STC)               ,334,,,9,,343
291,7,SANTA CRUZ,71103,SAN RAMON SCZ                 ,156,1,0,0,0,157
292,7,SANTA CRUZ,71104,SAN JULIAN                    ,780,11,1,11,0,803
293,7,SANTA CRUZ,71105,SAN ANTONIO DE LOMERIO        ,73,18,6,0,0,97
294,7,SANTA CRUZ,71106,CUATRO CAÑADAS                ,154,1,1,0,0,156
295,7,SANTA CRUZ,71201,SAN MATIAS                    ,267,16,8,0,0,291
296,7,SANTA CRUZ,71301,COMARAPA                      ,361,4,4,4,0,373
297,7,SANTA CRUZ,71302,SAIPINA                       ,44,,,0,,44
298,7,SANTA CRUZ,71401,PUERTO SUAREZ                 ,386,3,0,5,0,394
299,7,SANTA CRUZ,71402,PUERTO QUIJARRO               ,369,0,1,3,0,373
300,7,SANTA CRUZ,71403,CARMEN RIVERO TORREZ          ,62,7,11,2,2,84
301,7,SANTA CRUZ,71501,ASCENCION DE GUARAYOS         ,667,5,6,10,0,688
302,7,SANTA CRUZ,71502,URUBICHA                      ,91,4,0,0,0,95
303,7,SANTA CRUZ,71503,EL PUENTE(STC)                ,86,1,0,1,0,88
304,8,BENI      ,80101,TRINIDAD                      ,3636,0,8,32,0,3676
305,8,BENI      ,80102,SAN JAVIER(BNI)               ,21,5,0,0,0,26
306,8,BENI      ,80201,RIBERALTA                     ,3628,23,13,44,0,3708
307,8,BENI      ,80202,GUAYARAMERIN                  ,1280,3,3,10,0,1296
308,8,BENI      ,80301,REYES                         ,219,50,0,5,0,274
309,8,BENI      ,80302,SAN BORJA                     ,871,99,33,23,1,1027
310,8,BENI      ,80303,SANTA ROSA                    ,164,18,0,2,0,184
311,8,BENI      ,80304,RURRENABAQUE                  ,576,19,0,8,0,603
312,8,BENI      ,80401,SANTA ANA                     ,447,31,1,8,0,487
313,8,BENI      ,80402,EXALTACION                    ,12,3,1,0,0,16
314,8,BENI      ,80501,SAN IGNACIO                   ,391,49,26,6,1,473
315,8,BENI      ,80601,LORETO                        ,8,7,6,0,0,21
316,8,BENI      ,80602,SAN ANDRES                    ,46,7,9,0,0,62
317,8,BENI      ,80701,SAN JOAQUIN                   ,89,,,1,,90
318,8,BENI      ,80702,SAN RAMON BENI                ,72,,,0,,72
319,8,BENI      ,80703,PUERTO SILES                  ,2,1,0,0,0,3
320,8,BENI      ,80801,MAGDALENA                     ,229,28,3,6,0,266
321,8,BENI      ,80802,BAURES                        ,93,4,0,2,0,99
322,8,BENI      ,80803,HUARACAJE                     ,46,,,0,,46
323,9,PANDO     ,90101,COBIJA                        ,1774,,,25,,1799
324,9,PANDO     ,90102,PORVENIR                      ,41,4,1,0,0,46
325,9,PANDO     ,90103,BOLPEBRA                      ,2,5,0,0,0,7
326,9,PANDO     ,90104,BELLA FLOR                    ,10,8,0,0,0,18
327,9,PANDO     ,90201,PUERTO RICO                   ,113,8,0,0,0,121
